name,icon_url
반려동물 동반 가능,https://github.com/tanonkim/yhim/blob/master/houserules/1.png?raw=true
흡연 가능,https://github.com/tanonkim/yhim/blob/master/houserules/2.png?raw=true
네집내집의 강화된 청소 절차 준수에 동의했습니다.,https://github.com/tanonkim/yhim/blob/master/houserules/3.png?raw=true
네집내집의 사회적 거리 두기 및 관련 가이드라인이 적용됩니다.,https://github.com/tanonkim/yhim/blob/master/houserules/4.png?raw=true
일산화탄소 경보기 없음,https://github.com/tanonkim/yhim/blob/master/houserules/5.png?raw=true
화재경보기 없음,https://github.com/tanonkim/yhim/blob/master/houserules/6.png?raw=true
"근처에 호수, 강, 바다 등이 있음",https://github.com/tanonkim/yhim/blob/master/houserules/7.png?raw=true
계단을 올라가야 함,https://github.com/tanonkim/yhim/blob/master/houserules/8.png?raw=true
